Team,Opponent,Team_Score,Opponent_Score
RACING SANTANDER,VALLADOLID,0.0,1.0
RAYO VALLECANO,ALAVES,2.0,2.0
REAL SOCIEDAD,ATHLETIC BILBAO,4.0,2.0
MALLORCA,VALENCIA,0.0,2.0
VILLARREAL,OSASUNA,2.0,2.0
RECREATIVO HUELVA,MALAGA,2.0,3.0
BARCELONA,ATLETICO MADRID,2.0,2.0
DEPORTIVO LA CORUNA,BETIS,2.0,4.0
SEVILLA,CELTA VIGO,0.0,1.0
REAL MADRID,ESPANYOL,2.0,0.0
MALAGA,RAYO VALLECANO,2.0,1.0
OSASUNA,DEPORTIVO LA CORUNA,1.0,2.0
ATHLETIC BILBAO,BARCELONA,0.0,2.0
VALENCIA,RECREATIVO HUELVA,3.0,0.0
ESPANYOL,REAL SOCIEDAD,1.0,3.0
ALAVES,RACING SANTANDER,0.0,1.0
CELTA VIGO,MALLORCA,3.0,1.0
VALLADOLID,VILLARREAL,1.0,0.0
ATLETICO MADRID,SEVILLA,1.0,1.0
REAL MADRID,OSASUNA,4.0,1.0
BARCELONA,ESPANYOL,2.0,0.0
DEPORTIVO LA CORUNA,VALLADOLID,2.0,0.0
RAYO VALLECANO,RACING SANTANDER,3.0,1.0
RECREATIVO HUELVA,CELTA VIGO,0.0,3.0
MALAGA,VALENCIA,2.0,2.0
MALLORCA,ATLETICO MADRID,0.0,4.0
VILLARREAL,ALAVES,0.0,1.0
SEVILLA,ATHLETIC BILBAO,1.0,1.0
REAL SOCIEDAD,BETIS,3.0,3.0
ALAVES,DEPORTIVO LA CORUNA,1.0,2.0
VALLADOLID,REAL MADRID,1.0,1.0
BETIS,BARCELONA,3.0,0.0
ATLETICO MADRID,RECREATIVO HUELVA,1.0,1.0
ESPANYOL,SEVILLA,0.0,0.0
RACING SANTANDER,VILLARREAL,1.0,1.0
CELTA VIGO,MALAGA,2.0,2.0
ATHLETIC BILBAO,MALLORCA,0.0,2.0
OSASUNA,REAL SOCIEDAD,2.0,3.0
VALENCIA,RAYO VALLECANO,3.0,0.0
RECREATIVO HUELVA,ATHLETIC BILBAO,1.0,2.0
REAL SOCIEDAD,VALLADOLID,2.0,1.0
REAL MADRID,ALAVES,5.0,2.0
MALAGA,ATLETICO MADRID,3.0,1.0
MALLORCA,ESPANYOL,2.0,0.0
RAYO VALLECANO,VILLARREAL,2.0,2.0
BARCELONA,OSASUNA,2.0,2.0
DEPORTIVO LA CORUNA,RACING SANTANDER,0.0,2.0
VALENCIA,CELTA VIGO,0.0,1.0
SEVILLA,BETIS,1.0,1.0
BETIS,REAL MADRID,1.0,1.0
VILLARREAL,DEPORTIVO LA CORUNA,3.0,1.0
RACING SANTANDER,REAL MADRID,2.0,0.0
ATLETICO MADRID,VALENCIA,1.0,1.0
BETIS,MALLORCA,0.0,1.0
ALAVES,REAL SOCIEDAD,2.0,2.0
OSASUNA,SEVILLA,2.0,1.0
ESPANYOL,RECREATIVO HUELVA,2.0,0.0
ATHLETIC BILBAO,MALAGA,1.0,1.0
CELTA VIGO,RAYO VALLECANO,0.0,1.0
VALLADOLID,BARCELONA,2.0,1.0
RECREATIVO HUELVA,BETIS,1.0,1.0
REAL MADRID,VILLARREAL,1.0,1.0
RAYO VALLECANO,DEPORTIVO LA CORUNA,1.0,2.0
VALENCIA,ATHLETIC BILBAO,5.0,1.0
BARCELONA,ALAVES,6.0,1.0
CELTA VIGO,ATLETICO MADRID,0.0,0.0
MALAGA,ESPANYOL,3.0,4.0
SEVILLA,VALLADOLID,2.0,1.0
MALLORCA,OSASUNA,2.0,0.0
REAL SOCIEDAD,RACING SANTANDER,2.0,1.0
VALLADOLID,MALLORCA,1.0,3.0
ATLETICO MADRID,RAYO VALLECANO,2.0,0.0
DEPORTIVO LA CORUNA,REAL MADRID,0.0,0.0
VILLARREAL,REAL SOCIEDAD,0.0,1.0
OSASUNA,RECREATIVO HUELVA,0.0,1.0
ATHLETIC BILBAO,CELTA VIGO,2.0,1.0
ESPANYOL,VALENCIA,0.0,1.0
BETIS,MALAGA,3.0,0.0
ALAVES,SEVILLA,1.0,0.0
RACING SANTANDER,BARCELONA,1.0,1.0
MALAGA,OSASUNA,1.0,0.0
RAYO VALLECANO,REAL MADRID,2.0,3.0
REAL SOCIEDAD,DEPORTIVO LA CORUNA,1.0,1.0
BARCELONA,VILLARREAL,1.0,0.0
VALENCIA,BETIS,1.0,1.0
MALLORCA,ALAVES,3.0,1.0
CELTA VIGO,ESPANYOL,1.0,0.0
RECREATIVO HUELVA,VALLADOLID,1.0,3.0
SEVILLA,RACING SANTANDER,1.0,0.0
ATLETICO MADRID,ATHLETIC BILBAO,3.0,3.0
VILLARREAL,SEVILLA,1.0,0.0
DEPORTIVO LA CORUNA,BARCELONA,2.0,0.0
ALAVES,RECREATIVO HUELVA,3.0,0.0
ESPANYOL,ATLETICO MADRID,1.0,2.0
OSASUNA,VALENCIA,1.0,0.0
ATHLETIC BILBAO,RAYO VALLECANO,2.0,1.0
VALLADOLID,MALAGA,0.0,0.0
RACING SANTANDER,MALLORCA,1.0,2.0
REAL MADRID,REAL SOCIEDAD,0.0,0.0
BETIS,CELTA VIGO,2.0,1.0
SEVILLA,DEPORTIVO LA CORUNA,1.0,1.0
BARCELONA,REAL MADRID,0.0,0.0
RAYO VALLECANO,REAL SOCIEDAD,0.0,0.0
MALAGA,ALAVES,0.0,0.0
ATHLETIC BILBAO,ESPANYOL,4.0,1.0
MALLORCA,VILLARREAL,1.0,1.0
VALENCIA,VALLADOLID,2.0,0.0
CELTA VIGO,OSASUNA,0.0,0.0
RECREATIVO HUELVA,RACING SANTANDER,2.0,1.0
ATLETICO MADRID,BETIS,1.0,0.0
OSASUNA,ATLETICO MADRID,1.0,0.0
VALLADOLID,CELTA VIGO,0.0,2.0
ESPANYOL,RAYO VALLECANO,3.0,1.0
VILLARREAL,RECREATIVO HUELVA,1.0,0.0
ALAVES,VALENCIA,0.0,0.0
RACING SANTANDER,MALAGA,1.0,0.0
BETIS,ATHLETIC BILBAO,1.0,0.0
REAL SOCIEDAD,BARCELONA,2.0,1.0
DEPORTIVO LA CORUNA,MALLORCA,2.0,2.0
MALAGA,VILLARREAL,1.0,1.0
RECREATIVO HUELVA,DEPORTIVO LA CORUNA,1.0,1.0
RAYO VALLECANO,BARCELONA,1.0,0.0
SEVILLA,REAL SOCIEDAD,0.0,1.0
VALENCIA,RACING SANTANDER,2.0,0.0
ATHLETIC BILBAO,OSASUNA,1.0,3.0
ESPANYOL,BETIS,2.0,4.0
CELTA VIGO,ALAVES,2.0,1.0
MALLORCA,REAL MADRID,1.0,5.0
ATLETICO MADRID,VALLADOLID,1.0,0.0
ALAVES,ATLETICO MADRID,2.0,0.0
VILLARREAL,VALENCIA,0.0,2.0
OSASUNA,ESPANYOL,1.0,0.0
VALLADOLID,ATHLETIC BILBAO,2.0,0.0
DEPORTIVO LA CORUNA,MALAGA,1.0,0.0
RACING SANTANDER,CELTA VIGO,3.0,0.0
REAL SOCIEDAD,MALLORCA,2.0,1.0
BETIS,RAYO VALLECANO,0.0,1.0
REAL MADRID,RECREATIVO HUELVA,4.0,2.0
BARCELONA,SEVILLA,0.0,3.0
ATLETICO MADRID,RACING SANTANDER,1.0,2.0
MALAGA,REAL MADRID,2.0,3.0
ATHLETIC BILBAO,ALAVES,2.0,0.0
RAYO VALLECANO,SEVILLA,0.0,1.0
CELTA VIGO,VILLARREAL,3.0,1.0
MALLORCA,BARCELONA,0.0,4.0
RECREATIVO HUELVA,REAL SOCIEDAD,1.0,3.0
ESPANYOL,VALLADOLID,1.0,0.0
BETIS,OSASUNA,2.0,1.0
VALENCIA,DEPORTIVO LA CORUNA,0.0,1.0
REAL MADRID,SEVILLA,3.0,0.0
VALLADOLID,BETIS,3.0,0.0
OSASUNA,RAYO VALLECANO,0.0,1.0
RACING SANTANDER,ATHLETIC BILBAO,3.0,4.0
DEPORTIVO LA CORUNA,CELTA VIGO,3.0,0.0
SEVILLA,MALLORCA,3.0,0.0
REAL SOCIEDAD,MALAGA,2.0,2.0
VILLARREAL,ATLETICO MADRID,4.0,3.0
ALAVES,ESPANYOL,2.0,1.0
BARCELONA,RECREATIVO HUELVA,3.0,0.0
REAL MADRID,VALENCIA,4.0,1.0
CELTA VIGO,REAL MADRID,0.0,1.0
VALENCIA,REAL SOCIEDAD,2.0,2.0
ATHLETIC BILBAO,VILLARREAL,0.0,1.0
OSASUNA,VALLADOLID,1.0,1.0
BETIS,ALAVES,2.0,2.0
RECREATIVO HUELVA,SEVILLA,0.0,0.0
RAYO VALLECANO,MALLORCA,1.0,2.0
ESPANYOL,RACING SANTANDER,3.0,0.0
ATLETICO MADRID,DEPORTIVO LA CORUNA,3.0,1.0
MALAGA,BARCELONA,0.0,0.0
REAL SOCIEDAD,CELTA VIGO,1.0,0.0
BARCELONA,VALENCIA,2.0,4.0
SEVILLA,MALAGA,0.0,0.0
VILLARREAL,ESPANYOL,0.0,0.0
DEPORTIVO LA CORUNA,ATHLETIC BILBAO,2.0,1.0
RACING SANTANDER,BETIS,0.0,1.0
ALAVES,OSASUNA,1.0,1.0
MALLORCA,RECREATIVO HUELVA,1.0,1.0
RAYO VALLECANO,VALLADOLID,0.0,1.0
REAL MADRID,ATLETICO MADRID,2.0,2.0
ATLETICO MADRID,REAL SOCIEDAD,1.0,2.0
ESPANYOL,DEPORTIVO LA CORUNA,3.0,1.0
BETIS,VILLARREAL,2.0,1.0
OSASUNA,RACING SANTANDER,3.0,1.0
VALLADOLID,ALAVES,1.0,3.0
VALENCIA,SEVILLA,1.0,0.0
RECREATIVO HUELVA,RAYO VALLECANO,2.0,1.0
MALAGA,MALLORCA,1.0,0.0
ATHLETIC BILBAO,REAL MADRID,1.0,1.0
CELTA VIGO,BARCELONA,2.0,0.0
ATLETICO MADRID,BARCELONA,3.0,0.0
BETIS,DEPORTIVO LA CORUNA,0.0,2.0
VALENCIA,MALLORCA,1.0,0.0
VALLADOLID,RACING SANTANDER,2.0,1.0
CELTA VIGO,SEVILLA,0.0,1.0
OSASUNA,VILLARREAL,0.0,1.0
ALAVES,RAYO VALLECANO,1.0,1.0
MALAGA,RECREATIVO HUELVA,4.0,0.0
